"Sample","Family","Genus","Species","Count"
"A0S3R1","Acanthuridae","Acanthurus","grammoptilus",2
"A0S3R1","Balistidae","Abalistes","stellatus",3
"A0S3R1","Balistidae","Sufflamen","fraenatum",1
"A0S3R1","Carangidae","Carangoides","chrysophrys",1
"A0S3R1","Carangidae","Carangoides","fulvoguttatus",1
"A0S3R1","Carangidae","Carangoides","gymnostethus",2
"A0S3R1","Carangidae","Seriolina","nigrofasciata",1
"A0S3R1","Chaetodontidae","Parachaetodon","ocellatus",2
"A0S3R1","Labridae","Choerodon","cauteroma",1
"A0S3R1","Lethrinidae","Gymnocranius","elongatus",1
"A0S3R1","Lethrinidae","Lethrinus","punctulatus",1
"A0S3R1","Lutjanidae","Lutjanus","sebae",1
"A0S3R1","Lutjanidae","Pristipomoides","multidens",1
"A0S3R1","Nemipteridae","Nemipterus","furcosus",10
"A0S3R1","Sparidae","Argyrops","spinifer",3
"A0S3R1","Tetraodontidae","Lagocephalus","sceleratus",1
"A0S3R10","Unknown","Unknown","spp",1
"A0S3R10","Acanthuridae","Acanthurus","grammoptilus",1
"A0S3R10","Acanthuridae","Naso","sp",5
"A0S3R10","Balistidae","Abalistes","stellatus",2
"A0S3R10","Balistidae","Sufflamen","fraenatum",2
"A0S3R10","Carangidae","Carangoides","caeruleopinnatus",1
"A0S3R10","Carangidae","Carangoides","fulvoguttatus",7
"A0S3R10","Carangidae","Carangoides","gymnostethus",1
"A0S3R10","Labridae","Bodianus","perditio",3
"A0S3R10","Labridae","Choerodon","cauteroma",2
"A0S3R10","Lethrinidae","Gymnocranius","elongatus",2
"A0S3R10","Lethrinidae","Gymnocranius","grandoculis",1
"A0S3R10","Lethrinidae","Lethrinus","nebulosus",6
"A0S3R10","Lutjanidae","Lutjanus","erythropterus",3
"A0S3R10","Lutjanidae","Lutjanus","malabaricus",1
"A0S3R10","Lutjanidae","Lutjanus","sebae",1
"A0S3R10","Lutjanidae","Lutjanus","vitta",1
"A0S3R10","Lutjanidae","Pristipomoides","multidens",5
"A0S3R10","Mullidae","Parupeneus","spilurus",2
"A0S3R10","Scaridae","Scarus","ghobban",1
"A0S3R10","Serranidae","Cromileptes","altivelis",1
"A0S3R10","Serranidae","Epinephelus","areolatus",5
"A0S3R10","Serranidae","Epinephelus","multinotatus",7
"A0S3R10","Serranidae","Plectropomus","maculatus",2
"A0S3R10","Sparidae","Argyrops","spinifer",1
