"Sample","Date","Time","Depth","Location","Site","Status","Latitude","Longitude","Observer","Successful.count","Successful.length"
"A2S15R10",20101001,"12:00:00",56.4,"A2",15,"Fished",-19.9337033333333,117.038528333333,NA,"Yes","Yes"
"A2S15R1",20101001,"12:00:00",55,"A2",15,"Fished",-19.9264766666667,117.038241666667,NA,"Yes","Yes"
"A2S15R2",20101001,"12:00:00",55,"A2",15,"Fished",-19.92701,117.041411666667,NA,"Yes","Yes"
"A2S15R3",20101001,"12:00:00",55,"A2",15,"Fished",-19.92671,117.045441666667,NA,"Yes","Yes"
"A2S15R4",20101001,"12:00:00",53.6,"A2",15,"Fished",-19.926685,117.048228333333,NA,"Yes","Yes"
"A2S15R5",20101001,"12:00:00",55.7,"A2",15,"Fished",-19.9265816666667,117.051328333333,NA,"Yes","Yes"
"A2S15R6",20101001,"12:00:00",57.5,"A2",15,"Fished",-19.9313266666667,117.050686666667,NA,"Yes","Yes"
"A2S15R7",20101001,"12:00:00",57.5,"A2",15,"Fished",-19.931805,117.047435,NA,"Yes","Yes"
"A2S15R8",20101001,"12:00:00",55.9,"A2",15,"Fished",-19.931915,117.044048333333,NA,"Yes","Yes"
"A2S15R9",20101001,"12:00:00",57,"A2",15,"Fished",-19.9333933333333,117.041725,NA,"Yes","Yes"
"A2S16R10",20101001,"12:00:00",57,"A2",16,"Fished",-19.8425833333333,117.305985,NA,"Yes","Yes"
"A2S16R1",20101001,"12:00:00",59.3,"A2",16,"Fished",-19.8396916666667,117.283391666667,NA,"Yes","Yes"
"A2S16R2",20101001,"12:00:00",57.7,"A2",16,"Fished",-19.8390033333333,117.287038333333,NA,"Yes","Yes"
"A2S16R3",20101001,"12:00:00",56.2,"A2",16,"Fished",-19.838385,117.289743333333,NA,"Yes","Yes"
"A2S16R4",20101001,"12:00:00",46.5,"A2",16,"Fished",-19.8376933333333,117.29268,NA,"Yes","Yes"
"A2S16R5",20101001,"12:00:00",50.3,"A2",16,"Fished",-19.8370166666667,117.295398333333,NA,"Yes","Yes"
"A2S16R6",20101001,"12:00:00",51.8,"A2",16,"Fished",-19.8363033333333,117.298185,NA,"Yes","Yes"
"A2S16R7",20101001,"12:00:00",47.5,"A2",16,"Fished",-19.835595,117.300916666667,NA,"Yes","Yes"
"A2S16R8",20101001,"12:00:00",50,"A2",16,"Fished",-19.83441,117.305098333333,NA,"Yes","Yes"
"A2S16R9",20101001,"12:00:00",59.3,"A2",16,"Fished",-19.8399716666667,117.30828,NA,"Yes","Yes"
"A0S3R10",20100923,"12:00:00",61,"A0",3,"Fished",-20.11628,115.689061666667,NA,"Yes","Yes"
